filename, alternaria alternata, cercospora nicotianae, no cercospora nicotianae or alternaria alternata present
Zachariah-Hansen2_jpg.rf.a0b83d42ef126af72cce8396513a0751.jpg, 0, 1, 0
Target_Spot_Leaf_zciIWN3_jpg.rf.a0c5dd8112bca507bf132c9dddaac7cc.jpg, 0, 1, 0
healthy-17-_jpg.rf.a38e05b56c30f0e69dceff8891c3e0dc.jpg, 0, 0, 1
image_processing20220902-1323621-8ev7f7_jpg.rf.a315017c3e18b547064a13b3218fdfef.jpg, 0, 1, 0
image_processing20220902-2740616-1w39gp2_jpg.rf.a128f67cf1a46b8f256d0cd8de9c115d.jpg, 1, 0, 0
image_processing20220902-2740616-1w39gp2_jpg.rf.a480c62e658b462a7df534690b96b9ee.jpg, 1, 0, 0
Target_Spot_Leaf_zciIWN3_jpg.rf.a0a1a49576f2cd3a20bd274ad76e8575.jpg, 0, 1, 0
healthy-4-_jpg.rf.a1cdb9e8a683bf481f0d9c075861f070.jpg, 0, 0, 1
1436046_jpg.rf.a3d95053c0fbf60d61c6516cba8cf8f7.jpg, 1, 0, 0
1436046_jpg.rf.a1d739a479bdf32b339b0e54dd84c194.jpg, 1, 0, 0
Target_Spot_Leaf_zciIWN3_jpg.rf.a0c715bd02feefbc5696ae9a06bd430f.jpg, 0, 1, 0
4211_jpg.rf.a5e23ef8fd29757afc096b9e052654c5.jpg, 0, 1, 0
Alternaria-Zimbabwe1_jpg.rf.a6d9f54770139a06757d8e91d6c14889.jpg, 1, 0, 0
healthy-35-_jpg.rf.a59cdd23a01934e226ed694a305f33b1.jpg, 0, 0, 1
healthy-32-_jpeg_jpg.rf.a102dcb97d8b58d588995892932f9276.jpg, 0, 0, 1
1280px-Alternariaalternata_jpg.rf.a18a5a66e4ea276143dcdb7d8ddc4191.jpg, 1, 0, 0
image_processing20220902-1323614-fzpxm_jpg.rf.a2528fce9193ce6d8f678e5e0bec4b53.jpg, 0, 1, 0
180614tc_jpg.rf.a5deafca738837e264f4b4353dca8767.jpg, 0, 1, 0
image_processing20220902-1323614-fzpxm_jpg.rf.a641ad1b37604916a5bfee9634e6fcf2.jpg, 0, 1, 0
cercni_jpg.rf.a2be501b39afa654911e79b81cdface0.jpg, 0, 1, 0
Alternaria-Zimbabwe1_jpg.rf.a460e7c596e42dc64bd90f48cab6e0b9.jpg, 1, 0, 0
healthy-6-_jpg.rf.a7919e4835e3982d200dd2a24586b88e.jpg, 0, 0, 1
1-cercosporiose-2_jpg.rf.a681a198411cfd88192ccff63f093e94.jpg, 0, 1, 0
tabac245_jpg.rf.a7abd60936b4a02fd75eabd94b51aba3.jpg, 0, 1, 0
tabac245_jpg.rf.a5123ca58cf271f1262c3357e3f5a5cf.jpg, 0, 1, 0
image_processing20220902-2740616-xssvza_jpg.rf.a879d84afd95dd8985d417b091c19fd8.jpg, 1, 0, 0
image_processing20220902-2740614-1xsizc_jpg.rf.a2ed206e903c6256ff698f05496d20d2.jpg, 0, 1, 0
tabac245_jpg.rf.a81874ca93e1c48f27669e388e57d1e0.jpg, 0, 1, 0
1440024_jpg.rf.a8c499a9182dbf5ae5b5e53a4dd909de.jpg, 1, 0, 0
